name,k,space_bytes,original_bytes,distribution
"Vec<u64>",0,8000024,8000024,"UniformLow_1000000"
"Fixed len=10",1,1250096,8000024,"UniformLow_1000000"
"Gamma",2,4121976,8000024,"UniformLow_1000000"
"Gamma",4,3121976,8000024,"UniformLow_1000000"
"Gamma",8,2621976,8000024,"UniformLow_1000000"
"Gamma",16,2371976,8000024,"UniformLow_1000000"
"Gamma",32,2246976,8000024,"UniformLow_1000000"
"Gamma",64,2184476,8000024,"UniformLow_1000000"
"Gamma",128,2153228,8000024,"UniformLow_1000000"
"Gamma",256,2137604,8000024,"UniformLow_1000000"
"Gamma",512,2129792,8000024,"UniformLow_1000000"
"Gamma",1024,2125884,8000024,"UniformLow_1000000"
"Delta",2,3839752,8000024,"UniformLow_1000000"
"Delta",4,2839752,8000024,"UniformLow_1000000"
"Delta",8,2339752,8000024,"UniformLow_1000000"
"Delta",16,2089752,8000024,"UniformLow_1000000"
"Delta",32,1964752,8000024,"UniformLow_1000000"
"Delta",64,1902252,8000024,"UniformLow_1000000"
"Delta",128,1871004,8000024,"UniformLow_1000000"
"Delta",256,1855380,8000024,"UniformLow_1000000"
"Delta",512,1847568,8000024,"UniformLow_1000000"
"Delta",1024,1843660,8000024,"UniformLow_1000000"
"Rice log2_b=9",2,3311112,8000024,"UniformLow_1000000"
"Rice log2_b=9",4,2311112,8000024,"UniformLow_1000000"
"Rice log2_b=9",8,1811112,8000024,"UniformLow_1000000"
"Rice log2_b=9",16,1561112,8000024,"UniformLow_1000000"
"Rice log2_b=9",32,1436112,8000024,"UniformLow_1000000"
"Rice log2_b=9",64,1373612,8000024,"UniformLow_1000000"
"Rice log2_b=9",128,1342364,8000024,"UniformLow_1000000"
"Rice log2_b=9",256,1326740,8000024,"UniformLow_1000000"
"Rice log2_b=9",512,1318928,8000024,"UniformLow_1000000"
"Rice log2_b=9",1024,1315020,8000024,"UniformLow_1000000"
"Zeta z=3",2,3639448,8000024,"UniformLow_1000000"
"Zeta z=3",4,2639448,8000024,"UniformLow_1000000"
"Zeta z=3",8,2139448,8000024,"UniformLow_1000000"
"Zeta z=3",16,1889448,8000024,"UniformLow_1000000"
"Zeta z=3",32,1764448,8000024,"UniformLow_1000000"
"Zeta z=3",64,1701948,8000024,"UniformLow_1000000"
"Zeta z=3",128,1670700,8000024,"UniformLow_1000000"
"Zeta z=3",256,1655076,8000024,"UniformLow_1000000"
"Zeta z=3",512,1647264,8000024,"UniformLow_1000000"
"Zeta z=3",1024,1643356,8000024,"UniformLow_1000000"
"Omega",2,3960256,8000024,"UniformLow_1000000"
"Omega",4,2960256,8000024,"UniformLow_1000000"
"Omega",8,2460256,8000024,"UniformLow_1000000"
"Omega",16,2210256,8000024,"UniformLow_1000000"
"Omega",32,2085256,8000024,"UniformLow_1000000"
"Omega",64,2022756,8000024,"UniformLow_1000000"
"Omega",128,1991508,8000024,"UniformLow_1000000"
"Omega",256,1975884,8000024,"UniformLow_1000000"
"Omega",512,1968072,8000024,"UniformLow_1000000"
"Omega",1024,1964164,8000024,"UniformLow_1000000"
"VByteLe",2,3871888,8000024,"UniformLow_1000000"
"VByteLe",4,2871888,8000024,"UniformLow_1000000"
"VByteLe",8,2371888,8000024,"UniformLow_1000000"
"VByteLe",16,2121888,8000024,"UniformLow_1000000"
"VByteLe",32,1996888,8000024,"UniformLow_1000000"
"VByteLe",64,1934388,8000024,"UniformLow_1000000"
"VByteLe",128,1903140,8000024,"UniformLow_1000000"
"VByteLe",256,1887516,8000024,"UniformLow_1000000"
"VByteLe",512,1879704,8000024,"UniformLow_1000000"
"VByteLe",1024,1875796,8000024,"UniformLow_1000000"
"VByteBe",2,3871888,8000024,"UniformLow_1000000"
"VByteBe",4,2871888,8000024,"UniformLow_1000000"
"VByteBe",8,2371888,8000024,"UniformLow_1000000"
"VByteBe",16,2121888,8000024,"UniformLow_1000000"
"VByteBe",32,1996888,8000024,"UniformLow_1000000"
"VByteBe",64,1934388,8000024,"UniformLow_1000000"
"VByteBe",128,1903140,8000024,"UniformLow_1000000"
"VByteBe",256,1887516,8000024,"UniformLow_1000000"
"VByteBe",512,1879704,8000024,"UniformLow_1000000"
"VByteBe",1024,1875796,8000024,"UniformLow_1000000"
"Pi z=3",2,3591672,8000024,"UniformLow_1000000"
"Pi z=3",4,2591672,8000024,"UniformLow_1000000"
"Pi z=3",8,2091672,8000024,"UniformLow_1000000"
"Pi z=3",16,1841672,8000024,"UniformLow_1000000"
"Pi z=3",32,1716672,8000024,"UniformLow_1000000"
"Pi z=3",64,1654172,8000024,"UniformLow_1000000"
"Pi z=3",128,1622924,8000024,"UniformLow_1000000"
"Pi z=3",256,1607300,8000024,"UniformLow_1000000"
"Pi z=3",512,1599488,8000024,"UniformLow_1000000"
"Pi z=3",1024,1595580,8000024,"UniformLow_1000000"
"Golombb=8",2,10252832,8000024,"UniformLow_1000000"
"Golombb=8",4,9252832,8000024,"UniformLow_1000000"
"Golombb=8",8,8752832,8000024,"UniformLow_1000000"
"Golombb=8",16,8502832,8000024,"UniformLow_1000000"
"Golombb=8",32,8377832,8000024,"UniformLow_1000000"
"Golombb=8",64,8315332,8000024,"UniformLow_1000000"
"Golombb=8",128,8284084,8000024,"UniformLow_1000000"
"Golombb=8",256,8268460,8000024,"UniformLow_1000000"
"Golombb=8",512,8260648,8000024,"UniformLow_1000000"
"Golombb=8",1024,8256740,8000024,"UniformLow_1000000"
"ExpGolomb b=2",2,3878232,8000024,"UniformLow_1000000"
"ExpGolomb b=2",4,2878232,8000024,"UniformLow_1000000"
"ExpGolomb b=2",8,2378232,8000024,"UniformLow_1000000"
"ExpGolomb b=2",16,2128232,8000024,"UniformLow_1000000"
"ExpGolomb b=2",32,2003232,8000024,"UniformLow_1000000"
"ExpGolomb b=2",64,1940732,8000024,"UniformLow_1000000"
"ExpGolomb b=2",128,1909484,8000024,"UniformLow_1000000"
"ExpGolomb b=2",256,1893860,8000024,"UniformLow_1000000"
"ExpGolomb b=2",512,1886048,8000024,"UniformLow_1000000"
"ExpGolomb b=2",1024,1882140,8000024,"UniformLow_1000000"
"Vec<u64>",0,8000024,8000024,"UniformHigh_1000000"
"Fixed len=32",1,4000096,8000024,"UniformHigh_1000000"
"Gamma",2,9625240,8000024,"UniformHigh_1000000"
"Gamma",4,8625240,8000024,"UniformHigh_1000000"
"Gamma",8,8125240,8000024,"UniformHigh_1000000"
"Gamma",16,7875240,8000024,"UniformHigh_1000000"
"Gamma",32,7750240,8000024,"UniformHigh_1000000"
"Gamma",64,7687740,8000024,"UniformHigh_1000000"
"Gamma",128,7656492,8000024,"UniformHigh_1000000"
"Gamma",256,7640868,8000024,"UniformHigh_1000000"
"Gamma",512,7633056,8000024,"UniformHigh_1000000"
"Gamma",1024,7629148,8000024,"UniformHigh_1000000"
"Delta",2,7000176,8000024,"UniformHigh_1000000"
"Delta",4,6000176,8000024,"UniformHigh_1000000"
"Delta",8,5500176,8000024,"UniformHigh_1000000"
"Delta",16,5250176,8000024,"UniformHigh_1000000"
"Delta",32,5125176,8000024,"UniformHigh_1000000"
"Delta",64,5062676,8000024,"UniformHigh_1000000"
"Delta",128,5031428,8000024,"UniformHigh_1000000"
"Delta",256,5015804,8000024,"UniformHigh_1000000"
"Delta",512,5007992,8000024,"UniformHigh_1000000"
"Delta",1024,5004084,8000024,"UniformHigh_1000000"
"Zeta z=3",2,7321664,8000024,"UniformHigh_1000000"
"Zeta z=3",4,6321664,8000024,"UniformHigh_1000000"
"Zeta z=3",8,5821664,8000024,"UniformHigh_1000000"
"Zeta z=3",16,5571664,8000024,"UniformHigh_1000000"
"Zeta z=3",32,5446664,8000024,"UniformHigh_1000000"
"Zeta z=3",64,5384164,8000024,"UniformHigh_1000000"
"Zeta z=3",128,5352916,8000024,"UniformHigh_1000000"
"Zeta z=3",256,5337292,8000024,"UniformHigh_1000000"
"Zeta z=3",512,5329480,8000024,"UniformHigh_1000000"
"Zeta z=3",1024,5325572,8000024,"UniformHigh_1000000"
"Omega",2,7250160,8000024,"UniformHigh_1000000"
"Omega",4,6250160,8000024,"UniformHigh_1000000"
"Omega",8,5750160,8000024,"UniformHigh_1000000"
"Omega",16,5500160,8000024,"UniformHigh_1000000"
"Omega",32,5375160,8000024,"UniformHigh_1000000"
"Omega",64,5312660,8000024,"UniformHigh_1000000"
"Omega",128,5281412,8000024,"UniformHigh_1000000"
"Omega",256,5265788,8000024,"UniformHigh_1000000"
"Omega",512,5257976,8000024,"UniformHigh_1000000"
"Omega",1024,5254068,8000024,"UniformHigh_1000000"
"VByteLe",2,6936664,8000024,"UniformHigh_1000000"
"VByteLe",4,5936664,8000024,"UniformHigh_1000000"
"VByteLe",8,5436664,8000024,"UniformHigh_1000000"
"VByteLe",16,5186664,8000024,"UniformHigh_1000000"
"VByteLe",32,5061664,8000024,"UniformHigh_1000000"
